"step";"bible_ref";"precedence";"category";"bible_ref_nl_trans";"bible_trans_nl_trans_text";"title_nl";"title_en";"devotional_en";"devotional_nl";"devotional_source";"media_author";"media_title";"media_description_en";"media_lang";"media_type";"media_public";"media_link";"questions";"extra"
1;"Mat 3:2";"primary";"Salvation Commands";"HSV";"Bekeer u, want het Koninkrijk der hemelen is nabijgekomen.";"Bekeer u en geloof het evangelie";"Repent and believe the gospel";"If you confess your sins, God is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness. Then, turn your back to the world, and follow Jesus. How? Just start by applying all the commandments on this website in your life. Step by step, together with God. And if you know any other christians, take part on this journey together.";"Als je je zonden belijdt is God trouw en rechtvaardig om onze zonden te vergeven en ons te reinigen van alle ongerechtigheid. Keer dan je rug naar de wereld en volg Jezus. Hoe? Begin gewoon met het toepassen van alle geboden op deze website in je leven. Stap voor stap, samen met God. En als je andere christenen kent, neem dan samen deel aan deze reis.";;"Sidewalk Prophets";"Live like that";;"en";"Song";"yes";"https://www.youtube.com/embed/GfosSggwQS0";"With which other christians would you like to walk through all the commandments?";"Beeld van iemand die gedoopt wordt"
1;"Mat 4:17";"tertiary";"Salvation Commands";"HSV";"Bekeer u, want het Koninkrijk der hemelen is nabijgekomen.";;;;;;;;;;;;;"Tell each other why you repent";
1;"Mar 1:15";"secondary";"Salvation Commands";"HSV";"en Hij zei: De tijd is vervuld en het Koninkrijk van God is nabijgekomen. bekeer u en geloof het Evangelie.";;;;;;"Jenske Visser";;;;"Drawing";"yes";"/media/images/4_-_Blessed_are_those_who_mourn.png";"Pray together, that God will guide you in this process of walking this new life.";"Accepteer de vergeving dat Jezus Christus voor jouw zonden is gestorven en opgestaan en je zult eeuwig leven ontvangen"
1;"Mat 12:41";"tertiary";"Salvation Commands";"HSV";"De mannen van Ninevé zullen opstaan in het oordeel samen met dit geslacht en zullen het veroordelen, want zij hebben zich bekeerd op de prediking van Jona. en zie, meer dan Jona is hier!";;;;;;"Joop Gottmers";"Drugs… gefeliciteerd, jij hebt van mij gewonnen!";;"nl";"Testimony";"yes";"https://www.youtube.com/embed/x4x5taZ1sxU";;"Wie in Mij gelooft, heeft eeuwig leven."
1;"Luk 13:3";"tertiary";"Salvation Commands";"HSV";"maar als u zich niet bekeert, zult u allen evenzo omkomen.";;;;;;"Nicky Cruz";"Ik zal nooit meer huilen";;"nl";"Book";"yes";"/media/images/1_-_book_Ik-zal-nooit-meer-huilen.jpg";;
1;"Jes 55:7";"secondary";"Salvation Commands";"HSV";"Laat de goddeloze zijn weg verlaten, de man van ongerechtigheid zijn gedachten. Laat hij zich bekeren tot de HEERE, dan zal Hij Zich over hem ontfermen, tot onze God, want Hij vergeeft veelvuldig.";;;;;;"Joel Muniz";;;;"picture";"yes";"/media/images/1_-_picture_Repent.jpg";;
1;"Han 2:38";"secondary";"Salvation Commands";"HSV";"En Petrus zei tegen hen: Bekeer u en laat ieder van u gedoopt worden in de Naam van Jezus Christus, tot vergeving van de zonden. en u zult de gave van de Heilige Geest ontvangen.";;;;;;"Ben White";;;;"picture";"yes";"/media/images/1_-_picture_Repent2.jpg";;
1;"Han 17:30";"tertiary";"Salvation Commands";"HSV";"God dan verkondigt, met voorbijzien van de tijden van de onwetendheid, nu overal aan alle mensen dat zij zich moeten bekeren,";;;;;;"Pure Flix";"The Case for Christ";;"en";"Movie";"yes";"https://www.youtube.com/embed/rhe8KhSxWGo";;
1;"Han 26:20";"tertiary";"Salvation Commands";"HSV";"maar heb ik eerst aan hen die in Damascus en in Jeruzalem en in heel het land van Judea woonden, en later aan de heidenen verkondigd dat zij tot inkeer moesten komen, zich tot God bekeren en werken doen die in overeenstemming zijn met de bekering.";;;;;;"Louie Giglio";"From the Inside Out";;"en";"Sermon";"yes";"https://www.youtube.com/embed/oDu8xPknHB8";;
1;"Opb 2:5";"tertiary";"Salvation Commands";"HSV";"Bedenk dan van welke hoogte u bent gevallen en bekeer u en doe de eerste werken. Maar zo niet, dan kom Ik spoedig bij u en zal uw kandelaar van zijn plaats wegnemen, als u zich niet bekeert.";;;;;;;;;;;;;;"Ook als je weer bent afgedwaald!"
1;"Luk 5:32";"secondary";"Salvation Commands";"HSV";"Ik ben niet gekomen om rechtvaardigen tot bekering te roepen, maar zondaars.";;;;;;;;;;;;;;
1;"Mat 9:13";"tertiary";"Salvation Commands";"HSV";"Maar ga heen en leer wat het betekent: Ik wil barmhartigheid en geen offer. want Ik ben niet gekomen om rechtvaardigen tot bekering te roepen, maar zondaars.";;;;;;;;;;;;;;
1;"Mat 11:15";"tertiary";"Salvation Commands";"HSV";"Wie oren heeft om te horen, laat hij horen.";;;;;;;;;;;;;;
1;"Mat 16:16";"tertiary";"Salvation Commands";"HSV";"Simon Petrus antwoordde en zei: U bent de Christus, de Zoon van de levende God. 17. En Jezus antwoordde en zei tegen hem: Zalig bent u, Simon Barjona, want vlees en bloed hebben u dat niet geopenbaard, maar Mijn Vader, Die in de hemelen is.";;;;;;;;;;;;;;
